Input,Predicted,Actual
- I'll be right there.,<unk> <unk> <unk> जाएगा .,- मैं अभी वहाँ आता हूं.
That's a rich bet.,<unk> <unk> <unk> है .,यह एक बड़ा दांव है.
"Well, it's gonna get worse.","जिम , यह हो हो है . .","खैर, यह बदतर मिलने वाला है."
"You and me, son.","<unk> , मेरे , . .","तुम और मैं, बेटे."
It's men size 6.,<unk> <unk> <unk> <unk> <unk> .,यह पुरुषों 6 आकार है.
Like a dead dog?,<unk> <unk> <unk> <unk> है ?,कुत्ते की मौत?
I wanna see Lisa.,<unk> <unk> <unk> <unk> . .,मैं चाहता हूँ लिसा देखें.
Brienne of Tarth murdered Renly.,<unk> <unk> <unk> <unk> <unk> .,Tarth की Brienne Renly हत्या कर दी।
"- Fed up, so soon.","<unk> , , , . .","- फेड अप है, तो जल्द ही।"
A truly historic handshake.,<unk> <unk> <unk> <unk> . .,--वास्तविक रूप से ऐतिहासिक समझौता है।
But what's in your pocket?,<unk> अपने क्या क्या क्या है ?,लेकिन तुम्हारी जेब में क्या है?
It's just a joke.,"<unk> , <unk> <unk> है .",यह सिर्फ एक मजाक है.
- It's not his fault.,<unk> का <unk> नहीं है ।,- यह उसकी गलती नहीं है.
But he took a trip.,वह कहा <unk> <unk> <unk> .,लेकिन वह एक यात्रा लिया.
"Love has meaning, yes.","<unk> <unk> , , , . .","प्यार के कुछ मायने हैं, हाँ ."
Who's Mommy's little cutie?,<unk> <unk> <unk> <unk> <unk> है ?,मम्मी का प्यारा बच्चा कौन है?
..before brain death occurs here!,"<unk> , <unk> एक <unk> ! ! !",.. मस्तिष्क मृत्यु यहाँ से पहले होता है!
"Because right now, Dr. Swann...","<unk> , , , <unk> <unk> . .","क्योंकि इस वक्त, डॉ. स्वान,"
"Vincent Swan, Cachet Windows.","<unk> , <unk> <unk> <unk> .",हम हमेशा सही लोगों को खोजते रहते हैं...
Just have a little...,<unk> . . . . .,बस थोड़ा सा है ...
The Führer would never approve.,<unk> <unk> <unk> नहीं नहीं नहीं .,फ्यूरर कभी स्वीकार नहीं करेगा.
Can you experience his pain.,आप <unk> <unk> <unk> <unk> । .,आप अपने दर्द का अनुभव कर सकते हैं.
There's a hospital near by.,<unk> <unk> <unk> <unk> है है,यहाँ सामने एक हॉस्पिटल है
"Well, it's a key.","<unk> , यह एक <unk> है .",यह एक चाबी है.
It will be great!,<unk> हो <unk> .,बहुत मजा आएगा!
"I have a question, sir.","एक एक , , , है .","मैं एक सवाल है, सर है."
I will find him.,<unk> उसे <unk> <unk> .,मैं उसे मिल जाएगा.
- Playing a stupid game.,एक <unk> <unk> <unk> .,- एक बेवकूफ खेल खेल रहे.
© P@rM! NdeR M@nkÖÖ ™,<unk> <unk> <unk> <unk> <unk> !,©@ पीआर एम NDEआरएम @nkÖÖ
- But he was bored,वह कहा कि <unk> था,-लेकिन सच्ची में उसका मन नहीं लग रहा था
I'm really lucky today!,"मैं , <unk> <unk> <unk> है !",आज क्या किस्मत है?
Damn right we are.,"हम , हम हैं हैं .",हम कर रहे हैं बिल्कुल सही.
We can't leave him alone.,वे उसे नहीं नहीं नहीं !,हम उसे अकेले नहीं छोड़ सकते.
Give me your bag.,मैं अपने <unk> <unk> . .,मुझे अपना बैग दो .
"Well, we can't have that.","हम , हम नहीं सकते हैं ।","खैर, हम ऐसा नहीं होने दे सकते।"
It is true that snow.,यह <unk> <unk> <unk> है .,सच बर्फ है.
Should we be worried?,हम हम <unk> हैं है,हम चिंतित होना चाहिए?
"Thank you, ladies and gentlemen.","आप , , और और .","शुक्रिया, देवियो व सज्जनो।"
Who are you texting?,तुम <unk> <unk> हैं रहे ?,आप कौन texting रहे हैं?
- HE DOESN'T USE ONE.,<unk> <unk> <unk> <unk> . .,- वह एक का उपयोग नहीं करता.
I can't hit Shifu!,क्या <unk> <unk> नहीं नहीं !,मैं शीफ़ू को नहीं मार सकता!
We'll never get out alive.,मैं बाहर <unk> नहीं नहीं .,हम कभी जीवित बाहर नहीं निकलेंगे.
But there is one thing.,<unk> <unk> <unk> है .,लेकिन वहाँ एक बात है.
Follow that ground team!,<unk> <unk> <unk> <unk> है,है कि जमीनटीम कापालन करें !
Target located and eliminated.,<unk> <unk> <unk> <unk> . .,लक्ष्य स्थित और सफाया कर दिया.
- Is that a Wormhole?,<unk> <unk> <unk> <unk> है,- क्या ये एक Wormhole है ?
- I made it.,<unk> <unk> <unk> <unk> .,~ ~ मैं इसे बनाया है.
We are not your parents.,<unk> <unk> <unk> । .,हम अपने माता - पिता नहीं हैं.
Our old life is done.,<unk> <unk> <unk> है है .,हमारी पुरानी जिंदगी से किया जाता है.
I bet you do.,आप <unk> <unk> . .,मैं शर्त लगा सकता है.
- That's what's up.,<unk> है क्या है .,- - यह क्या हो रहा है। -
"- Yes, you do.","<unk> , तुम <unk> . .",- हाँ... तुम जानते हो।
All I have to do?,<unk> <unk> <unk> है ?,सभी मुझे क्या करना है?
The drones will handle this.,"<unk> , यह <unk> <unk> .",ड्रोन इस संभाल लेंगे.
See if there's another one.,एक <unk> एक <unk> <unk> है .,यह उपकरण तो टूटा हुआ है। देखो अगर दूसरा मिल जाए।
Your ass belongs to me?,<unk> मुझे मुझे <unk> कर ?,तुम्हारी गांड़ मेरे कब्जे में होगी.
Focus only on our deal,<unk> <unk> के <unk> है है,केवल हमारे समझौते पर फोकस
Why we just eliminate him?,"<unk> , हम <unk> <unk> ?",क्यों हम बस उसे खत्म करने?
Did you eat anything yesterday?,तुम आप भी <unk> हो ? ?,क्या तुमने कल कुछ खाया था?
Where are you from?,तुम <unk> <unk> हो ?,आप कहां से हैं?
If your hands get... wet.,<unk> . . . . .,अपने हाथों को ... गीला मिलता है।
"Get comfortable, you little mutt.","<unk> , , <unk> <unk> .",नन्ही पिल्ली।
- Or maybe not.,<unk> <unk> <unk> नहीं .,- या शायद नहीं -.
He stole a car.,<unk> <unk> <unk> <unk> .,उन्होंने कहा कि एक कार चुरा लिया।
"We're out of options, Mako.","<unk> <unk> <unk> <unk> , <unk> . .","हम विकल्प, Mako से बाहर हैं."
I need more information.,<unk> <unk> <unk> <unk> है .,मैं और अधिक जानकारी की जरूरत है.
Everyone knows amnesia is bollocks.,<unk> <unk> <unk> <unk> <unk> है .,हर कोई भूलने की बीमारी bollocks है जानता है.
"Look, life's too short.","<unk> , <unk> , <unk> है .","जीवन बहुत छोटा है, देखो."
You have a death wish...?,<unk> <unk> <unk> <unk> . .,आप एक मरने की इच्छा है ... ?
- The man who escaped.,<unk> <unk> <unk> है .,- भाग निकले जो आदमी.
"Shut the lid, will ya?","<unk> <unk> , <unk> , ? ?",- ढक्कन बंद करोगे?
"Hey, it's not that bad.","वैसे , यह कि कि नहीं है .","ए, उतना बुरा भी नहीं है।"
Meet me in the square!,<unk> <unk> <unk> <unk> ! !,मुझसे चौक में मिलना!
A 500 rupee note.,<unk> <unk> <unk> <unk> . .,500 रुपए का नोट.
He's supposed to come again.,हम के के के लिए . . .,वह फिर आने वाली है.
How do you kill people?,क्या तुम <unk> <unk> ? ?,आप लोगों को कैसे मारने करते हैं?
"Now we drink, Miche.","हम , हम <unk> <unk> . .",अब हम Miche पीते हैं.
Why would I apologize?,<unk> <unk> <unk> <unk> ?,मुझे क्षमा करें? आप मुझे बहाना क्यों करेंगे?
"You see this, don't you?","यह , , , नहीं है ?","तुम यह देखते हो, न?"
"Well, you noticed me, right?","क्या , , , , , ? ?","ठीक है, तुम मुझे देखा है, है ना?"
"What can be won, Alexander?","क्या , <unk> , कर हैं हैं","क्या, सिकंदर जीता जा सकता है?"
The process is highly volatile.,<unk> <unk> <unk> <unk> <unk> .,प्रक्रिया अत्यधिक अस्थिर है।
Why didn't you sleep?,क्या तुम नहीं नहीं ?,तुम सोये क्यूँ नहीं ?
What a nasty jerk!,<unk> <unk> <unk> <unk> !,ये कैसे हो सकता है!
"- Come on, Scott!","<unk> , <unk> , !","- चलो, स्कॉट!"
I'LL SORT OUT YOUR MOM.,<unk> <unk> <unk> <unk> <unk> .,मैं अपनी माँ को सुलझा लेंगे.
We gotta get out.,<unk> बाहर जाना .,हम बाहर जाना होगा.
"Not you, fat Jesus.","<unk> , <unk> <unk> <unk> <unk> .","तुम नहीं, वसा यीशु."
That's more like it.,<unk> <unk> <unk> <unk> है .,यह हुई न बात।
"""Whenever I see your face.""",""" <unk> <unk> <unk> <unk> "" "" ""","""जब भी मैं अपना चेहरा देख"""
Got to get further down.,<unk> <unk> <unk> <unk> .,करने के लिए आगे नीचे समझे.
# Is love beyond compare...,<unk> <unk> <unk> <unk> <unk> . .,♪ तुलना से परे प्यार है ... ♪
Did I offend you?,"<unk> , <unk> <unk> कर ?",मैंने आपको अपमान किया है?
woman speaking native language:,पुरुष अपनी 2 में है है,महिला अपनी मातृभाषा में बोल रही है:
What do you think?,आप क्या है हो ?,आप क्या सोचते हैं?
My name isn't Rosy,<unk> <unk> <unk> है है,मेरा नाम गुलाबी नहीं है
"Well, they're looking for him.","वे , वे वे <unk> रहे रहे ।","खैर, वे उसके लिए देख रहे हैं."
Cassander is Antipater's son.,यह <unk> <unk> <unk> है .,Cassander Antipater का बेटा है
Would you please shut up?,तुम <unk> <unk> <unk> ?,तुम चुप सकते हैं?
"Then swim towards it, honey.","<unk> <unk> <unk> , <unk> , .","फिर शहद, यह दिशा में तैर."
Stick the kettle on.,<unk> <unk> <unk> . .,चाय बना लो।
You scratch it here sideways.,यह यहाँ <unk> <unk> है .,तुम यहाँ scratch करो... ...साइड से... .
"What are we, fucking Vikings?","हम , हम , <unk> हैं ?","कमबख्त वाइकिंग्स, हम क्या कर रहे हैं?"
"You never looked better, man.","नहीं , , , , , ।",तुम एक गधा बुरा पसंद कर रहे हैं!
One of our brightest.,<unk> <unk> <unk> <unk> <unk> .,हमारे प्रतिभाशाली के एक.
How long do we have?,हम हम क्या है ?,हमारे पास कितना वक्त है?
Operating at 15% capacity.,<unk> <unk> <unk> <unk> <unk> .,15% क्षमता पर परिचालन.
"Yeah, this is him.","<unk> , यह <unk> है है","हाँ, वही बोल रहा हूँ।"
I just got two signatures,"<unk> , <unk> <unk> <unk> .","अभूतपूर्व फैलाव, 40Meter कीलें"
Thank you very much.,आप बहुत <unk> . .,बहुत-बहुत धन्यवाद.
Move out of the way.,<unk> <unk> <unk> . .,रास्ते से हट जाओ.
"Everything out, and quick!","<unk> , और , ! ! !","सब कुछ बाहर, और जल्दी!"
"You guys good? Yes, sir.","एक <unk> , , , , , .",सर।
He chose that car.,<unk> <unk> <unk> <unk> . .,उन्होंने कहा कि कार चुना है.
Probably the second mark.,<unk> <unk> के <unk> .,शायद सेकंड का चिह्न.
- Help her out.,<unk> <unk> से <unk> .,- उसकी मदद से बाहर.
"Desire, mutual benefit, whatever.","<unk> , <unk> , <unk> <unk> <unk> .","इच्छा, आपसी लाभ, जो भी हो।"
"Hello, you've reached Auto Rent.","<unk> , <unk> <unk> <unk> <unk> <unk> .","नमस्ते,क्यातुमपहुँच चुकेहैं ऑटोबाइककिराएपर."
How is that possible?,यह क्या है है ?,वो कैसे संभव है?
"- Come on, go.","<unk> , <unk> . .",चलो जाओ।
"""Let's not waste time anymore.""",""" हमारी बैठक समय नहीं नहीं नहीं । ""","""चलो समय अब ​​बर्बाद नहीं करते हैं।"""
"It's for you, sweetie.","आप <unk> , , , <unk> . .","यह स्वीटी, आप के लिए है."
"Uh, It's definitely Letty.","<unk> , <unk> <unk> <unk> <unk> है .","उह, यह निश्चित रूप से सारा है"
Show Mommy your teeth.,<unk> <unk> <unk> <unk> . .,मम्मी को अपने दाँत दिखाओ।
- Who told you that?,"<unk> , तुम कि हो ?",- तुम्हें किसने कहा ये?
"Copy that, relaying to Tech.","<unk> , <unk> <unk> <unk> <unk> <unk> .","कॉपी कि, टेक करने relaying."
- That's my cap!,<unk> <unk> <unk> <unk> !,- ये मेरा कैप है!
Help me carry your master.,मैं अपने <unk> <unk> . .,मेरी मदद करो अपने स्वामी ले.
I found this lawyer.,यह <unk> <unk> <unk> .,मैंइसवकीलपाया
"No, there isn't, is there?","नहीं है नहीं , क्या है है ?","नहीं, नहीं, है नहीं है?"
"More than excellent, mate.","<unk> <unk> , , , .",शानदार से भी अच्छी होगी दोस्त।
"Bob, how are you doing?","<unk> , तुम कर कर ? ?","बॉब, तुम्हारा कैसा चल रहा है?"
That's how it is.,यह यह है है है .,कि यह कैसे होता है.
He didn't have your number.,यह एक <unk> नहीं था ।,उन्होंने अपना नंबर नहीं था।
"No, sir, I have not.","<unk> , , , <unk> । है ।","नहीं सर, मैं नहीं किया है."
Making everyone so residents elysium.,<unk> <unk> <unk> <unk> <unk> . .,हर कोई इतना निवासियों नन्दन बनाना.
Her father betrayed me.,<unk> <unk> <unk> <unk> . .,उसके पिता ने मुझे धोखा दिया।
"Murph, look at me.","<unk> , <unk> <unk> . .","Murph, मेरी तरफ देखो ."
Earth is still my home.,"मेरे , मेरी मेरे है है .",पृथ्वीअभीभी मेराघरहै
Portrait of then Princess Mithravinda.,<unk> <unk> <unk> <unk> <unk> .,ये तस्वीर उस समय की राजकुमारी मित्राविन्दा की है.
May I help you?,"<unk> , <unk> <unk> कर ?",क्या मैं आपकी मदद कर सकती हूँ?
"- Yes, my dead friend.","<unk> , मेरे , मेरे .","~, मेरे मृत दोस्त."
"I feel terrible now, Brian.","<unk> , , , , <unk> .",सीबी रेडियो पर उसने दोस्त बनाए।
"ROME: ""Doing her job.""",""" . . <unk> <unk> <unk> "" "" ""","रोम: ""उसे नौकरी कर रहा है."""
We appreciate your courage.,<unk> <unk> <unk> <unk> <unk> .,हम आपके साहस की सराहना करते हैं.
Out of my house.,<unk> <unk> के <unk> . .,मेरे घर के बाहर.
You were at my presentation?,<unk> <unk> <unk> <unk> ? ?,क्या आप अपनी प्रस्तुति में?
I miss the city so...,<unk> . . . . . .,मुझे शहर की याद आती है इसलिए...
What did I do?,<unk> <unk> <unk> ? ?,मैंने क्या किया?
Running around the desert together.,<unk> <unk> <unk> <unk> <unk> .,लगभग रनिंग एक साथ रेगिस्तान.
The smoke will blind Okkoto.,<unk> <unk> <unk> <unk> <unk> .,आप के रूप में होगा.
"Thank you, Mr. Chairman.","<unk> , <unk> <unk> <unk> <unk> .","धन्यवाद, अध्यक्ष महोदय।"
Funny about this glacier.,<unk> के के <unk> <unk> है,ये glacier बड़ा अजीब है
SEE ON HIS HAND?,<unk> <unk> <unk> <unk> <unk> ?,उसके हाथ पर देखें?
At least here it did.,"<unk> , यह कुछ <unk> . .",कम से कम यहाँ तो कर रहा है।
Also read the newspaper today.,<unk> <unk> <unk> . .,इसके अलावा आज अखबार में पढ़ा।
The ironworks are under attack.,<unk> <unk> <unk> <unk> हैं .,वहाँ अभी भी समय है. महिलाओं के भीतर कटघरा पकड़े हैं.
How far to the mainland?,<unk> के के <unk> ? ?,कितनी दूर मुख्य भूमि के लिए?
"Cooper, we are lined up.","<unk> , हम <unk> <unk> हैं .","Cooper, हम बस तैयार है."
We've lost the package.,<unk> <unk> <unk> <unk> .,हमने माल खो दिया है।
Just like Peter taught me.,<unk> <unk> <unk> <unk> <unk> .,पीटर ने मुझे सिखाया बस की तरह.
How much do you have?,<unk> क्या हो ?,तुम्हारे पास कितना है?
What are they doing?,वे क्या कर रहे हैं,वे क्या कर रहे हैं?
You follow this officer.,<unk> <unk> <unk> <unk> <unk> .,इस अधिकारी के पीछे पीछे चलो.
"Vika, did you get that?","<unk> , तुम हो हो ?","Vika, आप मिला कि"
I am not my father.,मैं अपने <unk> <unk> । .,मैं मेरे पिता नहीं हूँ.
"Do you love anyone, Priya?","तुम , , , , ? ? ?","प्रिया,तुम किसी से प्यार करती हो?"
Ullman phoned me last night.,<unk> <unk> <unk> <unk> <unk> . .,उलमन ने कल रात मुझे फोन किया.
We need a sociologically-oriented program.,<unk> <unk> <unk> <unk>,हमें एक समाज-उन्मुख कार्यक्रम की जरूरत है.
Plus his mattress is gone.,<unk> <unk> <unk> <unk> है है,इसके अलावा अपने गद्दे गया है.
He's sounding absolutely absurd.,<unk> <unk> <unk> <unk> <unk> .,वह बिल्कुल बेतुका लग रहा है।
"Well, I'm either alive","<unk> , , , मैं <unk> .","खैर, मैं तो जिंदा हूँ"
Hold on a second.,एक <unk> <unk> <unk> .,एकमिनटरुको.
"Trust me, it's true.","मुझे , यह , यह यह .","मेरा विश्वास करो, यह सच है."
"Coverage cap limit, what's that?","<unk> , क्या , क्या क्या ?","कवरेज टोपी सीमा, कि क्या है?"
"This is different, innit?","<unk> , <unk> , <unk> ?",वह धंधा था। यह अलग है।
I just found out.,<unk> बाहर <unk> <unk> . .,मुझे अभी पता चला।
"Yeah, I could eat.","<unk> , <unk> <unk> <unk> . .","-हाँ, खाना मिले तो खा लूँगा।"
"I know, but I promise.","नहीं , , , , , .",-जानता हूं... लेकिन वादा करता हूं.
We need backup immediately!,<unk> <unk> <unk> <unk> ! !,हम तुरंत बैकअप की जरूरत है!
- He's a cricketer?,<unk> <unk> <unk> <unk> है,- उन्होंने कहा कि एक क्रिकेटर है?
He missed his call.,<unk> <unk> <unk> <unk> . ।,वह अपने फोन याद किया.
- I'm gonna make it.,मैं इसे <unk> कर रहा .,~ मैं यह कर रहा हूँ बनाने वाले.
"Irepeat,do youhavethevicepresident? We do.","<unk> , <unk> <unk> <unk> हैं .",हैं।
But he's still going down.,वह वह वह कि वह है . .,लेकिन वह अभी भी नीचे जा रहा है.
It's almost New Year's.,<unk> <unk> <unk> <unk> <unk> <unk> है .,यह लगभग नए साल की है.
( ringing continues ),( <unk> ) <unk> ),(बजजारीहै )
"King Snow, isn't it?","<unk> , यह <unk> यह है ?","राजा हिमपात, है ना?"
I'm about to start.,मैं <unk> के के लिए कर है,मैं शुरू करने के बारे में हूँ.
"You're too old, Lasse.","हम <unk> , , , , हैं .","तुम काफी बूढ़े हो, लेसे."
I think it's 15.,यह <unk> यह <unk> <unk> है .,मुझे लगता है कि 15 है.
It'll be fun for you.,आप के के लिए .,यह तुम्हारे लिए मज़ा आएगा.
"Wejust got nailed, man.!","<unk> <unk> , <unk> , ! !","हम फंस गये, यार."
But I'm a cop.,"<unk> , <unk> <unk> <unk> .",लेकिन मैं एक सिपाही हूँ.
- I'm coming with you.,मैं तुम्हें साथ आ रहा .,- मैं तुम्हारे साथ आ रहा हूँ.
Will you come on!,तुम <unk> पर <unk> !,तुम आओगे!
That's where Andy crossed.,<unk> <unk> <unk> <unk> है .,जो एंडी ने पार किया.
"What the hell's this, Vincent?","यह <unk> <unk> , है है ?","यह क्या है, विन्सेंट?"
This road isn't on here.,<unk> <unk> <unk> नहीं है .,यह सड़क यहाँ पर नहीं है.
"All right, see you then.","ठीक है , , , .","ठीक है, तो आप देखते हैं."
"""Left out of Blackheath station.",""" <unk> <unk> <unk> <unk> <unk> .","""ब्लैकहीथ स्टेशन से बायें जाओ."
I have No idea why.,<unk> <unk> <unk> <unk> .,मुझे पता नहीं क्यों है.
Out of respect... and distresses.,. . . . . . . .,सम्मान से... और चिंताओं.
The word of an assassin!,<unk> <unk> <unk> <unk> <unk> है !,एक हत्यारे का वचन!
Ever seen a train?,"<unk> , <unk> <unk> है ?",कभी ट्रेन देखी है?
Wear protective third generation.,<unk> <unk> <unk> <unk> <unk> .,सुरक्षात्मक तीसरी पीढ़ी पहनें.
I arrived here yesterday.,"<unk> , <unk> <unk> . .",कलयहांपहुंचा
I'll be right down.,<unk> <unk> <unk> . .,मैं ठीक नीचे हो जाएगा
Things neither animal nor human!,<unk> <unk> <unk> <unk> <unk> <unk> !,न पशु और न ही मानव हालात!
Family is very important.,यह <unk> <unk> है .,परिवार बहुत महत्वपूर्ण है.
Bring the helicopter down.,<unk> <unk> <unk> . .,हेलीकाप्टर को नीचे लाओ.
And what about my heart.,<unk> <unk> के बारे में है है,और मेरे दिल के बारे में क्या।
The border's not far now,"<unk> , <unk> नहीं नहीं नहीं है",बॉर्डर अब पास ही है
"I mean, there might be...","<unk> , , यह किया . . .","मेरा मतलब है, हो सकता है..."
That's the best part.,<unk> <unk> <unk> है है .,यही सबसे अच्छा हिस्सा है.
I fucked it all up.,<unk> <unk> <unk> <unk> है .,मैं यह सब गड़बड़ कर दिया करो.
So where has she gone?,वह वह कहाँ है है ?,तो वह कहाँ चला गया है?
I see it differently.,<unk> <unk> <unk> <unk> . .,मैं इसे दूसरे तरीके से देखता हूं.
"You, me, the ocean.","<unk> , , , <unk> .","तुम, मुझे, सागर."
- I do not believe.,<unk> नहीं नहीं नहीं . .,~ मैं माना जाएगा जो ~ में नहीं है.
Forgive our staunchest foes.,<unk> <unk> <unk> <unk> <unk> .,हमारेकट्टरशत्रुमाफ करदो/मैं
Are there any witnesses?,<unk> <unk> <unk> नहीं ?,कोई गवाह है?
He'll never answer to you.,मैं तुम्हें लिए <unk> नहीं . .,उन्होंने कहा कि आप का जवाब कभी नहीं होगा।
"- Yeah, that's better.","<unk> , यह <unk> है .","- हाँ, पहले से ठीक है."
I'm not that guy anymore.,मैं आशा कि कि नहीं नहीं है .,मुझे लगता है कि पुरुष अब और नहीं कर रहा हूँ।
"Lucy, we love you!","नहीं , तुम , तुम ! !","लूसी, हम तुमसे प्यार करते हैं!"
destroyedtheWestGate of the White House.,<unk> <unk> <unk> <unk> .,--व्हाइट हाउस का वैस्ट गेट नष्ट कर दिया है।
- Who are you?,तुम <unk> <unk> हैं ?,- तुम कौन हो?
Let's get him some rocks.,उसे <unk> <unk> <unk> . ।,चलो उसके लिए कुछ पत्थर इकठ्ठा करें.
What was I thinking?,"<unk> , <unk> <unk> ? ?",मैं क्या सोच रही हो?
Go check it out.,"<unk> , यह <unk> . .",जाओ जाँच करो.
It says something about... (GUNSHOT),""" के के के के के के के .",इसके बारे में कुछ कहना है... (बंदूक की गोली)
[ GUN CLICKS ],<unk> <unk> <unk> <unk> कर,[बंदूक क्लिक्स]
"Choppers, prepare your knives.","<unk> , <unk> <unk> <unk> .","हेलिकॉप्टरों, अपने चाकू तैयार करते हैं."
"For my family, I need..","<unk> , , , के के . .","मेरे परिवार के लिए, मैं की जरूरत है .."
Until your heart stops beating.,<unk> <unk> <unk> <unk> . .,जब तक तुम्हारे दिल की धड़कन रुक जाती है.
"(COLD, COLD HEART PLAYING)","( <unk> , <unk> <unk> <unk> )","(ठंड, शीत दिल खेल)"
But we are still alive.,हम हम <unk> <unk> हैं . .,लेकिन हम फिर भी जिंदा हैं.
A G.I. Joe flag.,<unk> <unk> <unk> <unk> <unk> .,एक जी.आई. जो झंडा.
You know what to do.,क्या क्या है क्या कर .,आप / मैं क्या करना है पता.
There's something blocking me.,<unk> <unk> <unk> <unk> <unk> .,मैं शॉ खो दिया है! वहाँ मुझे अवरुद्ध कुछ है.
Good people living in fear.,<unk> <unk> <unk> <unk> <unk> है .,खौफ में जी अच्छे लोग।
Go move the table.,<unk> <unk> <unk> <unk> .,मेज़ को हटाओ।
"Help me out, come on.","<unk> , , , , .","- मेरी मदद करो, आओ! - वो है .."
"♪ BABY, LIFE'S TOO SHORT","<unk> , <unk> <unk> <unk> <unk> <unk>","♪शिशु, जीवनबहुतछोटाहै♪ ♪शिशु,जीवनबहुतछोटा है"
They have his photo.,<unk> <unk> से है .,वे उसकी तस्वीर है.
Does he have a pulse?,वह वह <unk> एक है ?,वह एक नाड़ी है?
Now ask your questions.,<unk> <unk> <unk> <unk> .,अब आप अपने सवाल पूछते हो।
Your code is about family.,<unk> के के बारे में है है,अपने कोड के परिवार के बारे में है.
"- My Lord, My Lady.","<unk> , <unk> <unk> <unk> .","- मेरे प्रभु, मेरे लेडी।"
Just reset the controllers.,<unk> <unk> <unk> <unk> .,तुम बस उसके कंट्रोलर को Reset कर दो .
We're just having fun!,ये <unk> <unk> <unk> हैं !,हम सिर्फ मजाक कर रहे हैं!
I'm going to bed.,मैं तुम्हें के के जा रहा .,मैं बिस्तर पर जा रहा हूँ.
I remember that day.,"<unk> , <unk> <unk> <unk> है",मुझे वह दिन याद है.
"It's shit, it's tax-payers' money",<unk> <unk> <unk> <unk>,"यह ग़लत है, यह करदाताओं का पैसा है"
How's my little man?,<unk> का <unk> <unk> है ?,मेरे छोटे आदमी कैसा है?
"It's a start, right?","एक <unk> है , , है है ?","यह सही, एक शुरुआत है?"
