Input,Predicted,Actual
Just let me see it.,मुझे मुझे मुझे मुझे . .,बस मुझे इसे देखते हैं.
You gonna make me?,<unk> मुझे मुझे किया ? ?,तुम मुझे पहनाओगे?
"Okay, you can go.","<unk> , तुम तुम तुम जा ।","ठीक है, आप जा सकते हैं।"
- Just name a few.,<unk> नाम <unk> <unk> . .,- कुछ के नाम बताइए.
But did you see?,<unk> तुम्हें तुमने किया ? ?,लेकिन क्या तुमने देखा?
- About 30 minutes.,<unk> 30 मिलाना . .,- 30 मिनट के बारे में.
- You can't stay here!,<unk> यहाँ नहीं नहीं है !,- यहाँ नहीं रह सकते!
Once we start this dose..,<unk> <unk> ' <unk> <unk> . .,एक बार जब हम इस खुराक शुरू ..
He went looking for you.,<unk> आप आप लिए <unk> . .,-वो तुम्हें ढूंढ़ने गए थे।
Life never forgives weakness.,<unk> कभी कभी कभी कभी कभी,जीवन कभी कमजोरी को माफ नहीं करती है.
Did you try something new?,आप कुछ कुछ का कुछ ? ?,आप कुछ नया करने की कोशिश की थी?
What was your mistake?,<unk> आपकी थी थी थी,अपनी गलती क्या थी?
Get off the phone!,<unk> बंद बंद बंद !,फोन पर बात करना छोड़ो!
"He belongs to me now.""",<unk> मुझे मुझे के लिए . । ।,"उन्होंने कहा कि मेरे लिए अब अंतर्गत आता है। """
We can do this.,<unk> यह कर कर सकते हैं,हम कर सकते हैं.
I didn't say anything.,<unk> कुछ नहीं किया था .,मैं कुछ भी नहीं कहा.
I didn't get my invitation.,<unk> <unk> <unk> हरा नहीं । .,मैं अपने निमंत्रण नहीं मिला.
Gina can defend herself.,<unk> <unk> <unk> <unk> कर सकते,Gina अपना बचाव खुद कर सकती है।
"Come, you must get ready.","<unk> , , तुम चलते चाहिए । ।","आओ, तैयार हो जाओ."
We're just wasting time.,<unk> यहां समय समय कर हैं .,हम सिर्फ समय बर्बाद कर रहे हैं.
Get me quarter Brandy.,<unk> <unk> <unk> <unk> <unk> .,मुझे एक क्वाटर ब्रांडी दो.
- And see you later.,<unk> आप आप आप । .,- और आप बाद में देखते हैं।
The upper pelvic area.,<unk> <unk> <unk> <unk> . .,ऊपरी श्रोणि क्षेत्र.
And he will find you.,<unk> वह कहा <unk> किया . .,और वह आपको मिल जाएगा.
You have to do this!,<unk> के है है !,आप यह करना होगा!
You'll never be a vegetable.,<unk> कभी कभी कभी कभी कभी,तुम कभी बेकार नहीं होगे क्यों की ...
Where are you all going?,<unk> तुम क्या जा हो हो ?,अरे... आप सब कहाँ जा रहे हो?
"Some shit's going down, man.","<unk> जीवन , , , , ।","कुछ गंदगी के नीचे जा रहा है , आदमी"
"What say there, Fuzzy Britches?",<unk> <unk> <unk> <unk> <unk> <unk> ?,"क्या कहती हो, पैंटवाली?"
What's your play right now?,<unk> अब अब अब है है है ?,क्या अपने खेल अब ठीक है?
He's so damn stubborn.,<unk> <unk> <unk> <unk> .,वह इतना जिद्दी है.
"Please, reason with them.","<unk> , के के के . .","कृपया, उन लोगों के साथ कारण."
Tell them to get.,<unk> के के के लिए .,पाने के लिए उन्हें बताओ.
"Just the two cokes, okay?","<unk> <unk> <unk> <unk> , , ठीक है","बस दो cokes, ठीक है?"
I'm making you good money.,<unk> कुछ कुछ काम कि काम है .,मैं तुम्हें अच्छा पैसा बना रहा हूँ।
He's such an asshole.,<unk> <unk> <unk> <unk> है .,उन्होंने कहा कि इस तरह के एक गधे है।
They get all the love.,<unk> <unk> तस्वीर पर . .,उन्हें पूरा प्यार मिलता है।
- Is that it?,<unk> यह कि कि है,- इतना ही?
What if he'd been blinded?,<unk> <unk> <unk> <unk> किया ? ?,क्या होता अगर वह अंधा गया होता?
Don't see such shocking dreams.,<unk> <unk> <unk> नहीं नहीं नहीं .,इस तरह के चौंकाने वाला सपने नहीं देखते हैं।
"Well, I'd rather wait.","<unk> , <unk> <unk> <unk> . .","खैर, मैं काफी इंतजार करना चाहिये."
"( COUGHING, MOANING )","( <unk> , , <unk> )","(खाँसी, कराह)"
"Unfortunately, I do know you.","<unk> , <unk> , , तुम हो .","- दुर्भाग्य से, मैं तुम्हें पता नहीं है."
"Oh, come on, Dad.","<unk> , , चलो , , .","ओह, बोलिए, Dad."
"Come on, let's do this.","<unk> , चलो इसे यह है .","चलो, यह चलो करते हैं."
"Anyway, after the CB awkwardness,","<unk> <unk> <unk> , <unk> , ,",वह पागलों की तरह उन पर टूट पड़ा।
"- Yes, the meta-human thesis.",<unk> <unk> <unk> .,"- हाँ, मेटा-मानव थीसिस।"
I need you no longer.,<unk> <unk> <unk> <unk> नहीं है .,अब मुझे तुम्हारी कोई ज़रूरत नहीं है.
You son of a bitch.,<unk> पासपोर्ट के बेटा बेटा ।,तुम एक कुतिया का बेटा।
I have no address.,<unk> <unk> नहीं है .,मेरा कोई पता नहीं है.
- You forgot your keys...,<unk> अपने <unk> <unk> . .,- आप अपनी चाभी भूल गए थे...
"To your Congress, your courts.",<unk> अपनी <unk> <unk> <unk> <unk> . .,"अपने कांग्रेस के लिए, अपने अदालतों."
Are you done with her?,<unk> के साथ लिए चाहते ? ?,क्या तुम्हारा उसके साथ काम हो गया है?
And a total fucking mystery.,<unk> <unk> <unk> <unk> .,और पूरा रहस्य.
"Get to the wall, Trevor.","<unk> के , , <unk> .","दीवार के लिए जाओ, ट्रेवर. ट्रेवर:"
"Oh, she's in the back.","<unk> , <unk> नीचे नीचे है है .","ओह, वह वापस में है."
"Mechanic, limo driver, construction.","<unk> , , , , <unk> .",निर्माण।
"Oi, show some respect.","<unk> <unk> , <unk> <unk> <unk> .","ओय, कुछ सम्मान दिखाना."
You fight for them today.,<unk> के के <unk> . . .,आज आप उनके लिए लड़ते हैं.
Where's the handcuffs gone?,<unk> <unk> <unk> है ? ?,हथकड़ी कहाँ चला गया है?
Look at it Jack.,<unk> <unk> <unk> <unk> .,जैक को देखो...
"Enjoy your evening, Miss Vandervoort.","<unk> <unk> <unk> , <unk> <unk> <unk> .","अपनी शाम, मिस Vandervoort का आनंद लें."
"Well, the rumors are right.","<unk> , , ठीक हो हो .","खैर, अफवाहें सही कह रहे हैं।"
That's an interesting question.,<unk> एक बड़ा बड़ा है है .,यह एक दिलचस्प सवाल है.
You call this out?,<unk> यह <unk> <unk> है ?,यह तो आपको कहते हैं?
That is not gonna count.,<unk> <unk> <unk> नहीं है .,गिनती वाला नहीं है.
"Yeah, I could eat.","<unk> , <unk> , , कर सकते","हाँ, मैं खा सकता है."
We've got nowhere to go.,<unk> <unk> के है है है,हम कोई मिल गया कहाँ जाना है.
We're not gonna do this.,<unk> ऐसा नहीं नहीं . . .,हम यह करने वाला नहीं हैं.
Tell me where you're from.,<unk> मुझे <unk> <unk> बंद हैं .,मुझे बताओ कि तुम कहाँ से हो.
"- What'd you do, Murph?","आप <unk> <unk> , <unk> ? ?","- ये तुमने क्या कर डाला, Murph?"
Fastest Jaeger in the world.,<unk> <unk> में <unk> . .,दुनिया में सबसे तेज जैगर.
I feel bad about that.,<unk> वास्तव बारे वास्तव में में में,मैं उस बारे में बुरा लगता है.
"- Scott, what's wrong?","<unk> , , क्या क्या है ?","- स्कॉट, क्या हुआ?"
She's a nice lady.,<unk> एक अच्छा <unk> है । ।,वह एक अच्छी औरत है.
You don't need me anymore.,<unk> कारण साँस नहीं नहीं है है .,तुम मुझे अब और ज़रूरत नहीं है।
"The kingdom is mine, now.","<unk> <unk> <unk> , , , , .","ये राज्य अब मेरा है,"
We wake you up.,<unk> <unk> <unk> <unk> .,हम तुम उठो.
"Pardon me, big fella.","<unk> मुझे मुझे , , . .","माफ़ कर देना, बड़े दोस्त।"
My mama ran a whorehouse.,<unk> <unk> <unk> <unk> <unk> <unk> .,मेरी माँ एक whorehouse भाग गया.
I've never seen that before.,<unk> कारण बंदूकों नहीं नहीं है है .,मैं उससे पहले कभी नहीं देखा है.
These guys were trappers.,<unk> <unk> <unk> <unk> .,वे लोग बहेलिए थे।
You killed a Wight.,<unk> <unk> <unk> <unk> . .,आप एक वाइट को मार डाला।
I see it differently.,<unk> <unk> <unk> <unk> . .,मैं इसे दूसरे तरीके से देखता हूं.
I got a racket!,<unk> एक <unk> है !,मेरे हाथ में रैकेट है!
Don't you still understand?,<unk> नहीं नहीं नहीं नहीं नहीं नहीं,अभी भी तुम्हे समझ नहीं आया?
That's not what he meant!,<unk> अभी कि कि कि है !,कि वह क्या मतलब नहीं है!
"What'll it be, sir?","<unk> इसे , , , , ?","क्या होगा, साहब?"
- Dance with us.,<unk> <unk> के साथ .,- हमारे साथ नृत्य.
"He makes a mistake, Pharnakes.","<unk> एक एक , , है .","वह एक गलती की है, Pharnakes बनाता है."
We can get it.,<unk> इसे कर कर सकते .,हम इसे प्राप्त कर सकते हैं.
I could tell you exactly,<unk> आप आप आप <unk> कर,मैं आपको बता सकता है वही
- You must be goodbye.,<unk> टोपी बकवास चाहिए .,~ तुम अलविदा होना चाहिए.
- What are you doing?,<unk> तुम क्या कर रहे हो,- तुम क्या कर रहे हो?
"Stop being an arse, Vincent.",<unk> <unk> <unk> <unk> <unk> <unk> .,"बकवास बंद करो, विन्सेंट।"
I need your help,<unk> आपकी की की की,मुझे आपकी मदद चाहिए
"Steam, water shooting up.","<unk> , , कृपया . .","भाप, पानी शूटिंग."
"Nice weather, and no extradition.","<unk> <unk> , , , . . .","अच्छा मौसम, और कोई प्रत्यर्पण."
I know it wasn't you.,<unk> कुछ कि कि नहीं नहीं . .,मैं यह आपको नहीं पता था.
Do not confuse us.,<unk> <unk> <unk> नहीं नहीं .,हमें भ्रमित मत करो.
Right on top of Charleston.,<unk> <unk> पर पर .,चार्ल्सटन के शीर्ष पर ठीक है.
You're the important one.,<unk> <unk> <unk> हैं . .,तुम महत्वपूर्ण हो.
- What about fuel?,<unk> के के में बारे,- और ईंधन का क्या?
© P@rM! NdeR M@nkÖÖ ™,( <unk> बंद बंद बंद,©@ पीआर एम एन डी ईआर एम@ nkÖÖ 
What brings you to Chunghae?,<unk> <unk> के <unk> <unk> ? ?,आप Chunghae करने के लिए क्या लाता है?
"Pink streamers, pink fireworks.","<unk> <unk> <unk> , <unk> <unk> .","गुलाबी झालरें, आतिशबाजी।"
I have no enemies here?,<unk> <unk> <unk> नहीं नहीं है ?,मेरा यहाँ कोई दुश्मन नहीं है.
Try not to speak.,<unk> के के नहीं नहीं .,बोलो मत।
I don't doubt it.,<unk> समय समय नहीं है .,मुझे इस पर संदेह नहीं।
So let me guess.,मुझे मुझे <unk> <unk> है .,तो मुझे लगता है।
"Well, we're almost done here.","<unk> , हम यहाँ यहाँ हैं . .","खैर, हम यहाँ कर लगभग हैं."
You guys come with?,<unk> <unk> के <unk> ? ?,तुम लोग इसे ले तो आये हो ?
Want some bread with salt?,<unk> <unk> <unk> <unk> <unk> <unk> ?,- नमक के साथ कुछ रोटी चाहते हो?
- That's all for now.,<unk> सभी <unk> लिए है .,-कि अब सभी के लिए है
- She's running away.,<unk> <unk> में है है .,- ओ भाग रही है ये तो.
I don't think I can...,<unk> <unk> <unk> नहीं नहीं . . .,मुझे नहीं लगता कि मैं कर सकता हूँ ...
"I told you, I'm claustrophobic.","<unk> मैं तुम्हें , , <unk> <unk> .","मैंने आपको बताया था, मैं क्लॉस्टेरोफोबिया हूँ।"
"I found them, thank you.","<unk> <unk> , , , .","मैं उन्हें मिला , धन्यवाद."
Extraction could be difficult.,<unk> <unk> <unk> <unk> कर .,निकालना मुश्किल हो सकता है.
We accept no blackmail.,<unk> <unk> नहीं नहीं . .,ब्लैकमेल स्वीकार न करें.
You know it's true.,<unk> <unk> यह है है है .,आप यह सच है.
Take yourself whatever you want...,<unk> आप आप आप आप . .,Take yourself whatever you want...
I reckon she will.,<unk> <unk> <unk> है,मैं वह होगा लगता है.
( thudding stops ),( <unk> ) ),(thuddingबंदहो जाताहै)
I'm not gonna make this.,<unk> इस नहीं नहीं नहीं . .,नहीं हो पायेगा.
You've had a bad time...,<unk> एक बड़ा बड़ा . . . .,वहाँ अभी भी पुरुषों दफन है.
I saw it out there.,<unk> वाला वहाँ वहाँ . . .,मैं वहाँ से बाहर देखा.
"- Yeah, Doris, Mom's friend.","<unk> , <unk> , , , , , .","-? - हाँ, डोरिस, माँ दोस्त."
We have no more oilfields.,<unk> <unk> <unk> <unk> . .,हमारे पास और तेल कूप नहीं हैं.
"Yeah, that's what he said.","<unk> , कि कि कि कहा कहा कहा .","हाँ, कि उसने क्या कहा है."
"-after the accident -Whoa, whoa,","<unk> <unk> , , ,","के बाद दुर्घटना से वाह, वाह,"
"Glad to hear it, comrade.",<unk> <unk> <unk> <unk> <unk> <unk> . .,"सुनकर खुश हुआ, कॉमरेड."
And one other guy.,<unk> एक <unk> एक । .,और एक अन्य लड़का.
And I will always stay,<unk> हमेशा हमेशा <unk> <unk> .,औरमैंकरूँगाहमेशारहना
You'll surely God's forgiveness.,<unk> <unk> <unk> <unk> <unk> <unk> . .,आप निश्चित रूप से भगवान की माफी.
And what about our boys?,<unk> में बारे में बारे में ?,और क्या हमारे लड़कों के बारे में?
This is for you.,<unk> आप लिए लिए . .,यह आपके लिए है.
I need to call home.,<unk> की की की है है है,मैं घर पर फोन करने की जरूरत है।
I've thought it through carefully.,<unk> <unk> के के <unk> है है .,मैंने इसे सावधानी पूरा सोचा लिया है.
Leave me a message.,<unk> <unk> एक <unk> . .,मुझे एक संदेश छोड़.
"You are beautiful, so beautiful!","<unk> <unk> , , , ,",तुम कितनी सुंदर हो!
"Oh, wait, no-one told you?",एक कारण तुम्हें था थी,"रुकिए, किसी ने बताया नहीं?"
"Next time, we should carpool.","<unk> <unk> , <unk> <unk> <unk> चाहिए .","अगली बार, हम carpool चाहिए।"
Wheels down at 1845.,<unk> <unk> पर <unk> .,45 पर लैंड करेंगी।
Can I open it now?,<unk> <unk> <unk> <unk> <unk> है ?,अब मैं इसे खोल सकते हैं?
- He's a smuggler,<unk> <unk> <unk> <unk> है,-वो स्मगलर हैं
I saw it on TV.,<unk> <unk> <unk> <unk> <unk> है .,मैंने इसे टीवी पर देखा है.
How's the wife treating you?,<unk> <unk> <unk> <unk> है ?,पत्नी तुम्हारा इलाज कैसा कर रही है?
I married a whore.,<unk> <unk> एक <unk> <unk> .,मैं एक वेश्या से शादी की.
You make a theoretical decision...,<unk> <unk> <unk> <unk> . . .,आप एक सैद्धांतिक निर्णय लेते हैं...
"Uh, it's me again.","<unk> , , यह मुझे है है .","उह, यह मुझे फिर से है।"
I'll buy it for you.,<unk> आप के लिए लिए . .,मैं खरीद दूंगी.
"BOTH"". He broke the record!",<unk> <unk> <unk> <unk> <unk> !,"दोनों"" वह रिकॉर्ड तोड़ दिया"
Perhaps that will suffice.,<unk> <unk> <unk> <unk> . .,शायद यह है कि पर्याप्त होगा।
I'm gonna return it.,<unk> <unk> <unk> <unk> वाला . .,मैं कर रहा हूँ।
Perfect for ruling the world.,<unk> के के के लिए . .,दुनिया पर राज करने के लिए बिल्कुल सही.
"I love you, Mia.","<unk> <unk> , , , <unk> .","मैं, मिया तुमसे प्यार करता हूँ."
I'm here with you.,<unk> <unk> के साथ लिए . .,मैं तुम्हारे साथ यहाँ हूँ.
I want it done.,<unk> कुछ चाहते . . .,मैं इसे किया चाहते हैं.
Show me what you got.,<unk> मुझे क्या क्या है है .,तुम्हारे पास क्या है मुझे बताओ.
- Is too dangerous.,<unk> <unk> <unk> . .,~ खतरनाक भी प्रयास करें.
That is a Night Fury.,<unk> <unk> <unk> <unk> है .,यह ड्रैगन तो एक नाइट फ़्यूरी है।
It's not the same.,<unk> ऐसा नहीं नहीं है .,एक ही बात नहीं।
Tiger Five's gone down.,<unk> <unk> नीचे नीचे है है है,टाइगर पांच नीचे चला गया है.
I'm an institutional man now?,<unk> एक <unk> <unk> <unk> <unk> ?,मैं अब एक संस्थागत आदमी हूँ.
Then say you're sorry.,"<unk> <unk> <unk> , <unk> कर हैं",फिर कहते हैं कि तुम खेद है।
You've very little time left.,<unk> सबसे <unk> है है .,तुम्हारे पास बहुत थोडा समय बाकी है.
"- Oh, I gotta go.","<unk> , <unk> <unk> <unk> । ।","- ओह, मुझे जाना है."
How do you like it?,<unk> कुछ कुछ कुछ है ? ?,तुमको यह कैसा लगा?
He had two broke ribs.,<unk> <unk> <unk> <unk> . .,उन्होंने दो तोड़ दिया पसलियों था.
You stole a police car.,<unk> कार कार कार कार कार .,तुम एक पुलिस गाड़ी चुरा लिया.
I never saw him before.,<unk> उसे कभी नहीं नहीं नहीं है,मैं उसे कभी नहीं से पहले देखा था।
Where'd you send my daughter?,<unk> अपने अपने <unk> <unk> ?,तुमने मेरी बेटी को कहां भेजा था ?
- Give me a break.,<unk> <unk> <unk> . .,- मुझे एक विराम.
They all can talk.,<unk> तुम जा कर सकते हैं,वे सब बात कर सकते हैं।
"Gilda, are you decent?","<unk> , , तुम <unk> <unk> हो","गिल्डा,क्यातुमसभ्यहो?"
I think petrol is contaminated.,<unk> <unk> <unk> <unk> <unk> है .,मुझे लगता है कि पैट्रोल खराब हो गया है.
And two cats to feed.,लक्ष्य <unk> के <unk> <unk> .,और दो बिल्लयों का पेट भरना है।
Get out of there.,<unk> से नीचे नीचे . .,वहाँ से निकल जाओ.
Did you hear me?,<unk> मुझे मुझे मुझे चाहते हो,सुना तुमने?
You've walked a long way.,<unk> एक समय की है है .,तुम एक लंबा रास्ता चलकर आये हो.
"Alai, come and explain.","<unk> <unk> , और और .","अलाई, आओ और समझा."
You nearly ate the paper.,<unk> <unk> <unk> <unk> .,पूरा कागज़ ही चबा गए थे।
It was the baby's fault.,<unk> <unk> <unk> था .,यह बेबी की गलती थी।
"All your wages, Erik.","<unk> <unk> <unk> <unk> , <unk> .","पूरी मजदूरी, एरिक."
"Julio dead, you owe me.","<unk> , , , मुझे मुझे हो ।","जूलियो मृत, तुम मुझे देने हैं."
Fifteen minutes is a lifetime.,<unk> <unk> <unk> <unk> . .,पंद्रह मिनट एक पूरी ज़िंदगी होती है।
"- Yeah, a lot.","<unk> , , एक , .","- हाँ, बहुत."
"Amélie has one friend, Blubber.","<unk> एक <unk> , , , .","Amelie का एक दोस्त है , Blubber."
Think... real Swedish strawberries.,<unk> <unk> <unk> . . . .,सोचो... असली स्वीडिश स्ट्रॉबेरी.
What are you doing here?,<unk> यहाँ क्या कर रहे रहे हैं,आप यहां पर क्या कर रहे हैं?
- Because I was there.,<unk> <unk> <unk> किया . .,-क्योंकि मैं वहाँ था।
"It's a busy morning, huh?","<unk> एक <unk> , <unk> है है ?","यह एक व्यस्त सुबह है, है ना"
I don't have more time.,<unk> समय समय है . .,तैयारी का वक्त नहीं है।
"I'm going home, Martin.","<unk> <unk> <unk> , जा । .",मैं घर जा रही हूं मार्टिन।
Ask the Warden for funds.,<unk> के के <unk> लिए .,धन के लिए वार्डन से पूछो.
"Attention, the approaching aircraft.","<unk> , <unk> <unk> . .","सावधान, आ विमान."
Until we find an end.,<unk> <unk> एक <unk> है .,हम एक को समाप्त जब तक आप पाते.
Just reset the controllers.,<unk> <unk> <unk> <unk> .,तुम बस उसके कंट्रोलर को Reset कर दो .
I just found out.,<unk> बस <unk> निकल . .,मुझे अभी पता चला।
I'm looking for the owner.,<unk> के के लिए लिए . .,- मैं मालिक से मिलना चाहूँगा।
It's a trifle slippery.,<unk> <unk> <unk> <unk> है .,थोड़ी फिसलन है।
You got your centrifugal force.,<unk> <unk> <unk> <unk> है है,देखो .
"Dominique Bretodeau, 27 Rue Mouffetard.","<unk> <unk> <unk> , <unk> <unk> .","Dominique Bretodeau, 27 Rue Mouffetard."
"- Please, don't touch her!","<unk> , <unk> नहीं ! ! !","- प्लीज़, उसे हाथ मत लगाना!"
"Yes, a grey Mustang","<unk> <unk> , <unk> <unk> <unk>","हाँ, एक ग्रे घोड़ा"
- Must be a dog.,<unk> एक एक है .,- एक कुत्ता होना चाहिए।
Please listen to me.,<unk> मेरी बात सुनो . .,मेरी बात तो सुनो.
Get a little angry.,<unk> <unk> <unk> <unk> .,एक छोटे से नाराज हो जाओ.
You've had five packs already.,<unk> <unk> <unk> <unk> <unk> <unk> .,पहले ही तुम्हारे पांच पैक बाकी हैं.
Four months I've been here.,<unk> <unk> <unk> <unk> है है .,मैं चार महीने से यहाँ पर हूँ.
It would work this time.,<unk> समय समय समय है .,यह इस समय काम करेगा.
"No, he's not here.","<unk> , वह यहाँ यहाँ नहीं है .","नहीं, वह यहाँ नहीं है."
You wanna clue me in?,<unk> मुझे मुझे मुझे <unk> ? ?,तुम्हें सुराग मुझ में?
- Are you hurt?,<unk> आप कुछ <unk> ?,- चोट लगी है?
Danger turned into propaganda.,<unk> <unk> <unk> <unk> . .,खतरा प्रचार में बदल गया.
NdeR M@nkÖÖ ™ © P@rM!,( <unk> बंद बंद बंद,©@ पीआर एम nderएम@ nkÖÖ 
(CHUCKLING) And I'm enjoying myself.,( <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> ),(मुँह दबाकर हँसती) और मैं अपने आप को आनंद ले रहा हूँ।
What are you doing?,<unk> तुम क्या कर रहे हो,क्या कर रहे हो तुम ?
He was my father!,<unk> मेरी पिता <unk> ! !,उन्होंने कहा कि मेरे पिता था!
Stand at the corner.,टेलीफोन के के . .,कोने पर खड़े हो जाओ.
"Okay, you take that one.","<unk> , , कि <unk> . । .","ठीक है, तुम एक है कि ले."
"No, I didn't miss it.","<unk> , , यह नहीं नहीं किया था .",नहीं तो।
BEST LEAVE IT THAT WAY.,<unk> <unk> <unk> <unk> <unk> .,यह सबसे अच्छा तरीका है कि छोड़ो.
- My treasure is buried..,<unk> <unk> <unk> . . .,- मेरा खजाना उसे दफन कर दिया गया...
What in the fucking world?,<unk> <unk> <unk> में ? ?,क्या बकवास दुनिया में?
"Well, now, let me see?","<unk> , , , , , , , ?",मुझे देखने दें?
I'm going on my own.,<unk> अपने अपने पर जा जा रहा ।,मैं अकेला जा रहा हूँ.
"I'll see you later, Hank.","<unk> <unk> <unk> , , <unk> .",मैं बाद में हांक आप देखेंगे।
- Everything okay? - Yes.,<unk> <unk> <unk>,"-तो,​​ हमयहाँसमाप्तकररहेहैं?"
Jake says thank you.,<unk> <unk> <unk> . . .,जेक कहता हैं शुक्रिया.
I know all about cannibalism.,<unk> <unk> में बारे में में .,मैं नरभक्षण के बारे में सब जानता हूं.
You took advantage of Gill.,<unk> <unk> <unk> <unk> <unk> .,तुमने जिल का फ़ायदा उठाया।
What will happen to him?,<unk> क्या करना लिए ? ?,उसे क्या होगा?
-Is that what we said?,<unk> क्या कि कि कि है ?,है कि हम क्या कहा?
- Does it do anything?,<unk> कुछ कुछ कुछ है ?,क्या यह कुछ करती है?
Should be right here.,<unk> यहाँ यहाँ है . .,उसे यहीं होना चाहिए .
This is Okja's fate!,<unk> <unk> <unk> है है है,यही ओक्जा की किस्मत है!
Did you talk to Sam?,<unk> आप के लिए लिए ? ?,आप सैम के लिए बात की थी
"I've watched through his eyes,","<unk> <unk> <unk> , , ,","मैंने उसकी आंखों से देखा है,"
"Give me that, Smitty.","<unk> मुझे कि कि , , .",मुझे उस Smitty दें।
How did you reach Berlin?,<unk> <unk> <unk> <unk> <unk> ? ?,तुम बर्लिन कैसे पहुँचे?
His name is Kal.,<unk> नाम <unk> है .,उसका नाम कल है.
I have the witch's heart.,<unk> <unk> है है है,मैं डायन के दिल है।
Seats are £100 a head...,<unk> एक re <unk> होती . . .,"प्लीज़, विंसेंट बुलाएँ।"
Who's gonna prove me wrong?,<unk> मुझे मुझे किया किया ?,कौन मुझे गलत साबित करेगा?
First day of panda training!,<unk> <unk> <unk> <unk> !,पांडा प्रशिक्षण का पहला दिन!
What are you talking about?,<unk> आप बारे में कर रहे रहे,तुम किस बारे में बात कर रहे हैं?
Who are you calling?,<unk> आप क्या क्या हैं ?,आप कौन बुला रहे हैं?
She knows that it's wrong.,<unk> कुछ कि कि कि कि है .,वहयह गलतहैकि जानता है
What a nasty jerk!,( <unk> <unk> !,ये कैसे हो सकता है!
"( clicks, clatters )","( <unk> , , )","(क्लिककरताहै ,clatters)"
He can help us.,<unk> हमें जा जा सकते सकते,वह हमारी मदद कर सकते हैं.
